Player,Age,Salary,Games,Points,Rebounds,Assists,Turnovers,Steals,Blocks,League
Sami Whitcomb,35.0,142500.0,40.0,388.0,116.0,116.0,80.0,36.0,16.0,WNBA
Satou Sabally,26.0,86701.0,38.0,706.8,307.8,167.2,110.2,68.4,15.2,WNBA
Shakira Austin,23.0,73584.0,19.0,190.0,133.0,17.1,34.2,15.2,17.1,WNBA
Shatori Walker-Kimbrough,29.0,95000.0,40.0,252.0,84.0,68.0,28.0,28.0,16.0,WNBA
Shey Peddy,35.0,74305.0,18.0,93.6,32.4,32.4,10.8,14.4,1.8,WNBA
Sika Koné,21.0,62285.0,20.0,72.0,60.0,10.0,22.0,4.0,2.0,WNBA
Sophie Cunningham,27.0,150000.0,31.0,350.3,86.8,65.1,46.5,18.6,12.4,WNBA
Stefanie Dolson,32.0,160000.0,23.0,92.0,46.0,27.6,20.7,0.0,6.9,WNBA
Sug Sutton,25.0,62285.0,40.0,328.0,104.0,192.0,100.0,28.0,4.0,WNBA
Sydney Colson,34.0,74305.0,28.0,36.4,11.2,22.4,5.6,8.4,0.0,WNBA
Taylor Mikesell,24.0,16790.0,6.0,16.8,1.8,1.8,1.2,0.0,0.0,WNBA
Taylor Soule,24.0,38183.0,15.0,9.0,7.5,3.0,4.5,0.0,1.5,WNBA
Teaira McCowan,27.0,190000.0,30.0,357.0,273.0,45.0,45.0,15.0,36.0,WNBA
Tianna Hawkins,33.0,74305.0,40.0,328.0,200.0,56.0,48.0,32.0,16.0,WNBA
Tiffany Hayes,34.0,162477.0,40.0,484.0,120.0,104.0,56.0,36.0,4.0,WNBA
Tiffany Mitchell,29.0,135000.0,33.0,240.9,75.9,75.9,69.3,16.5,3.3,WNBA
Tyasha Harris,26.0,83194.0,40.0,232.0,36.0,68.0,40.0,28.0,4.0,WNBA
Veronica Burton,23.0,70609.0,40.0,96.0,72.0,88.0,16.0,28.0,12.0,WNBA
Victaria Saxton,24.0,62285.0,15.0,19.5,10.5,0.0,6.0,1.5,0.0,WNBA
Victoria Vivians,29.0,135000.0,38.0,197.6,117.8,49.4,30.4,26.6,7.6,WNBA
Yvonne Turner,36.0,74305.0,21.0,52.5,23.1,18.9,14.7,8.4,2.1,WNBA
Zia Cooke,23.0,68295.0,39.0,187.2,35.1,31.2,27.3,11.7,11.7,WNBA
